ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,1000000,Partnership Receivable,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Fees-Legal & Court Srvcs,Licenses Permits and Fees,4296.5,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,102878936,PFM Administration Expenses,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Comm Lic-Lobster Pots/Trawls,Licenses Permits and Fees,64065,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Auxiliary Services Revenues,Sales of Commodities and Services,929612253.1,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,215.11,Financial Literacy - MDI,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,3217.02,GEARUP Scholarship Trust,Special Revenue,Special Revenue
Revenue,2015,Taxes,Nursing Home Provider Tax,Miscellaneous,146171595.2,Revenue Deposits,General,General
Revenue,2015,Taxes,Individual Use Tax,Sales and Use,9889544.65,Revenue Deposits,General,General
Revenue,2015,Other Source,Misc-Transfers Out,Other Transfers,-10650132.74,Conversion Value,Capital Projects,Capital Projects
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,796734.71,Brownfields Response Program,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,6777.04,SPC BOS-New London TRA:2008,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,1593746,Nuclear Safety-NSEP Op Acct,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,486506.34,Nonpoint Source Implementation,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,11675,AAAC Annual Classic Awards,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,66650.21,ARRA- PCO Initiative,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Other Fees-Tech and Skilled,Licenses Permits and Fees,644910.79,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,15500,SHOPP 2006,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,178944,Avain Influenza Acct.,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2129522.99,FEMA Public Assistance,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Broker/Dealer Agent Renew Fee,Licenses Permits and Fees,700,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,65086.92,Plant&Animal Disease Control,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Refunds - Educational Fees,Licenses Permits and Fees,-106513.25,Brd For St Acad Awrd Op Fund,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,67672.47,High Crash Corridor Operations,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,509.62,Schools Lunch RVTS Federal,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Exam-Architects,Licenses Permits and Fees,113713,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,2846526.35,Crime Victim Assistance FFY11,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,40315.9,Court Improvement Prog FFY11,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,OSHA - On-Site Consultation,Federal Grants,59,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Passenger Terminal Buildings,Licenses Permits and Fees,5210,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,11589595.87,SAPT Block Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Examination Fees-Water,Licenses Permits and Fees,100,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-19748,CMIA Settlement Account,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1032,CMIA Settlement Account,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Pilotage Commission-CT Waters,Licenses Permits and Fees,51892.37,Revenue Deposits,Transportation,Special Revenue
Revenue,2012,Other Revenue,Check Cashing Licenses - New,Licenses Permits and Fees,50062.5,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2015,Other Source,Operating Transfers In,Other Transfers,32455945,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1158896.54,Newborn Screening Receipts,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1579446.01,NCHIP,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,47218.8,P&A for Tramatic Brain Injury,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Fees-Legal & Court Srvcs,Licenses Permits and Fees,157,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2012,Other Revenue,License - Mortgage Broker,Licenses Permits and Fees,136000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2012,Other Revenue,Motor Carrier Reg License-IFTA,Licenses Permits and Fees,148180,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Licenses-Milk Dealers,Licenses Permits and Fees,198830.59,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2500000,GEAR UP Fed Scholarships,Special Revenue,Special Revenue
Revenue,2015,Taxes,Intermediate Care Facility Fee,Miscellaneous,8774012,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Interest-Deposits-US Treasury,Miscellaneous,224836.21,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2015,Taxes,Emp Sec-Employers' Contr Tax,Miscellaneous,826318355.5,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2015,Other Revenue,Investment Interest,Investment Income,410.85,Correctional Gen Welfare Fund,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,742529.7,ED-NET Account,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,-18088.09,Public Hlth Emergency Response,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,573,Childrens Trust Fund,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Fees-Insp Srvcs-General,Licenses Permits and Fees,352280,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Fees-Copies/Banking Cert-Gen,Licenses Permits and Fees,21,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,6595,Gillette MU-MRI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,44839.77,Endangrd Spec Ntrl Area Pres,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,37220.1,EHDI-IS Survillance Programs,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Check Cashing Licenses - New,Licenses Permits and Fees,106600,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,2350498,Individuals Disability Part B,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,2039.5,Childrens Trust Fund,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,149865.42,Head Start State Collaboration,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Investment Interest,Investment Income,154.73,Brain Injury Prev and Svc Acct,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,35000,Chemical Analysis - Honey Bees,Special Revenue,Special Revenue
Revenue,2015,Other Source,Operating Rev (Exp),Other Transfers,-4631970.73,Bradley Improvement Program,Enterprise,Enterprise
Revenue,2015,Other Source,Loan Repay Interest-Trustee,Other Transfers,27800883.94,Conversion Value,Enterprise,Enterprise
Revenue,2015,Other Revenue,Other Fees-App/Exam/Qual,Licenses Permits and Fees,31492782.76,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2015,Other Source,Misc-Transfers In,Other Transfers,459020368.9,Conversion Value,Debt Service,Debt Service
Revenue,2012,Other Revenue,Fees-Filing-Limited Branch,Licenses Permits and Fees,8500,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,746562.73,Animal Population Control Acct,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1385847.82,Decision Support System,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-2427,Dry Clean Est Remed Acct-Admin,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fines and Costs-Departments,Rents Fines and Escheats,18530,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,473558,Job Accss & Rvrs Commte REG1-I,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,237840.87,NCCCP & Prog Management (MLC),Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Fees-Legal & Court Srvcs,Licenses Permits and Fees,128,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,10882400,Citizen Election Fund Grants,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3200000,CTN,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,ESCHEATS - SECURITY SALES,Rents Fines and Escheats,9120106.9,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,335000,JAG - State Funds,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Fees-App/Exam/Qual,Licenses Permits and Fees,141,Childrens Trust Fund,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Commercial Recording,Licenses Permits and Fees,25922043.75,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,666791,Family Day Care Home Licensing,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Other Fees-App/Exam/Qual,Licenses Permits and Fees,9494099.23,Revenue Deposits,General,General
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-750000,Citizen Election Fund Grants,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,200750,Utilization Review Fees,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Clinical Revenues,Sales of Commodities and Services,370726612.6,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2015,Other Source,Misc-Transfers Out,Other Transfers,-2000000,Conversion Value,Fiduciary,Other Trust Funds
Revenue,2015,Other Revenue,Investment Interest,Investment Income,921.32,Title XII Excess Funds,Special Revenue,Special Revenue
Revenue,2015,Taxes,Unified Gift & Estate Tax,Inheritance and Estate,176762633.5,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Landing Charges,Licenses Permits and Fees,47229.08,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,627033,ARRA-Broadband Mapping,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,135352.86,Comprehnsve Primry Health Care,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Motor Carrier Reg Licenses-Gen,Licenses Permits and Fees,117720,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Mobile Home Park Licenses,Licenses Permits and Fees,153529.4,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,5000,Human Trafficking in CT Study,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,44356.98,Gene Function in Lateral Orga,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,License-Debt Negotiator,Licenses Permits and Fees,16800,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Sale of Property,Miscellaneous,315000,Urban Act Grant-OPM,Capital Projects,Capital Projects
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1175.88,Nat Deaf Blind Equip Dist Prog,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,20000,Diff Response Sys_Casey Pr,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,1469808,State Innovation Model (SIM),Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,3005,Fight Children's Cancer Plate,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Examination Fees-Electric,Licenses Permits and Fees,11500,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,24000,National Organic Program,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Licenses-Skilled Trades,Licenses Permits and Fees,218005,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,10098,Northern Grapes- viticultue,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,275,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fees-Wholesale Cert - Alc Bev,Licenses Permits and Fees,50,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,49634.46,Federal Program Income,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Fees-Investigate-Consmr Coll,Licenses Permits and Fees,11200,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,13973311,Performance Partnership Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,91285.2,Health Insur. Admin. Reimb.,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,0.64,ARRA-FTA-SECTION 5307-REG 1,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Insurance Agent Licenses,Licenses Permits and Fees,38589660,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Debt Adjuster Licenses,Licenses Permits and Fees,6100,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,189549.66,Nat'l Integrated Food Safety S,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Mechanical Contractor Licenses,Licenses Permits and Fees,9621,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Penalties-Credit Union,Rents Fines and Escheats,200,Revenue Deposits,General,General
Revenue,2015,Taxes,Pers Inc Tax-Estimatd Payments,Personal Income,1846806381,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,328106.85,Supported Employment,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Rents - Miscellaneous,Rents Fines and Escheats,98194.55,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-200000,New Automobile Warranties Acct,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Fees-Demolition Notification,Licenses Permits and Fees,20250,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Recoveries-General,Miscellaneous,3078494.86,Revenue Deposits,General,General
